Round,Loss,Accuracy
1,2.1576317368131694,0.4640151515151515
2,1.7483244159004905,0.6515151515151515
3,0.9710532029469808,0.8049242424242424
4,0.59297402157928,0.8522727272727273
5,0.4289822442965074,0.875
6,0.35934357616034424,0.8958333333333334
7,0.323464434029478,0.9090909090909091
8,0.2839334204115651,0.9128787878787878
9,0.2630352740260688,0.9242424242424242
10,0.22227682410316033,0.9356060606060606
11,0.20377038103161435,0.9393939393939394
12,0.18545566973361102,0.9507575757575758
13,0.17986269701610913,0.9450757575757576
14,0.1651293568764672,0.9602272727272727
15,0.15343012350300947,0.9526515151515151
