Round,Loss,Accuracy
1,2.1912293304768644,0.33527131782945735
2,1.889805653298548,0.47093023255813954
3,1.2578203761300375,0.6182170542635659
4,0.8550993592240089,0.7325581395348837
5,0.6745898668156114,0.7810077519379846
6,0.6018730697705764,0.8081395348837209
7,0.5457036144049593,0.8313953488372093
8,0.4839668394059174,0.8488372093023255
9,0.45650094701338184,0.8585271317829457
10,0.4282792827417684,0.872093023255814
11,0.39653437729029695,0.8798449612403101
12,0.38037310298099075,0.8895348837209303
13,0.3678923803706502,0.8837209302325582
14,0.3384648013946622,0.9089147286821705
15,0.3049518003944279,0.9108527131782945
