Round,Loss,Accuracy
1,2.165987712171109,0.44713656387665196
2,1.7869796710917603,0.6211453744493393
3,1.016205260407032,0.8083700440528634
4,0.6055556540972336,0.8634361233480177
5,0.4470876649612897,0.8920704845814978
6,0.37110746707685194,0.9118942731277533
7,0.31855842129774553,0.920704845814978
8,0.27971545990868285,0.9229074889867841
9,0.2580106902030596,0.9229074889867841
10,0.23422644963479777,0.9273127753303965
11,0.21640998335136716,0.9361233480176211
12,0.19712671453732225,0.9449339207048458
13,0.19866715260014134,0.9383259911894273
14,0.18085505808436922,0.947136563876652
15,0.17476085633334873,0.9449339207048458
