Round,Loss,Accuracy
1,2.1556679440938358,0.47390396659707723
2,1.7483559291895348,0.6722338204592901
3,0.9444673932419938,0.8350730688935282
4,0.4720638808726269,0.9248434237995825
5,0.3242921814291363,0.9311064718162839
6,0.24440257185933983,0.941544885177453
7,0.18834933458141095,0.954070981210856
8,0.1534826815252762,0.9707724425887265
9,0.1306633904482975,0.9728601252609603
10,0.12405469024355575,0.9791231732776617
11,0.10164728381190768,0.9832985386221295
12,0.08758552885752381,0.9853862212943633
13,0.08836959448637195,0.9812108559498957
14,0.07432116085900643,0.9853862212943633
15,0.07057819143715383,0.9853862212943633
