Round,Loss,Accuracy
1,2.1697597888208207,0.4495967741935484
2,1.797345015310472,0.6491935483870968
3,1.032050944143726,0.7741935483870968
4,0.6167676621867765,0.8528225806451613
5,0.46207930387989166,0.8810483870967742
6,0.37595800334407437,0.9032258064516129
7,0.32026001811027527,0.9213709677419355
8,0.2814885538912589,0.9274193548387096
9,0.24688693160010922,0.9354838709677419
10,0.23450835289493685,0.9314516129032258
11,0.20028304741267236,0.9375
12,0.18298255844462302,0.9395161290322581
13,0.17628129667812778,0.9415322580645161
14,0.1686007791469174,0.9475806451612904
15,0.15200410050249868,0.9495967741935484
