Round,Loss,Accuracy
1,2.160364100086126,0.44969199178644764
2,1.760468719921073,0.6694045174537988
3,0.9989404032117777,0.811088295687885
4,0.577078627365081,0.864476386036961
5,0.42774284595826323,0.8829568788501027
6,0.3457405699351975,0.9034907597535934
7,0.29064606714542396,0.917864476386037
8,0.25668872749046623,0.9260780287474333
9,0.23044001346251314,0.9281314168377823
10,0.21914660734807195,0.9301848049281314
11,0.19493800511839943,0.9404517453798767
12,0.18016217988619324,0.9486652977412731
13,0.17622001680260566,0.946611909650924
14,0.16350435525240106,0.9548254620123203
15,0.15273999298867258,0.9548254620123203
