Round,Loss,Accuracy
1,2.1674767819617156,0.4437869822485207
2,1.7904339852417714,0.6173570019723866
3,1.0226331105128783,0.7948717948717948
4,0.5868678177602192,0.8698224852071006
5,0.42998423566949906,0.893491124260355
6,0.3575345910277357,0.8954635108481263
7,0.297767343370637,0.9112426035502958
8,0.25095396117110697,0.9309664694280079
9,0.22822387848615175,0.9329388560157791
10,0.21635648578816852,0.9270216962524654
11,0.1909451931421103,0.9388560157790927
12,0.17492016156514487,0.9447731755424064
13,0.17293806212423352,0.9467455621301775
14,0.15152817553081926,0.9487179487179487
15,0.1395440948080029,0.9506903353057199
