Round,Loss,Accuracy
1,2.1663191389329364,0.43564356435643564
2,1.778684884250754,0.6534653465346535
3,0.9996402438324277,0.8
4,0.5506618952987218,0.8831683168316832
5,0.3886297292048388,0.904950495049505
6,0.3003341873093407,0.9227722772277228
7,0.2517619843530183,0.9326732673267327
8,0.22326638108432884,0.9346534653465347
9,0.192945400323018,0.9445544554455445
10,0.18346588729631783,0.9485148514851485
11,0.15786165565547378,0.9544554455445544
12,0.14620931242952254,0.9643564356435643
13,0.14286840257078115,0.9623762376237623
14,0.1329127282199293,0.9623762376237623
15,0.11940649134097713,0.9702970297029703
