Round,Loss,Accuracy
1,2.1873425903467596,0.33976833976833976
2,1.8836737931004823,0.46332046332046334
3,1.248676955469787,0.6428571428571429
4,0.8827962028473961,0.7335907335907336
5,0.7018127446008925,0.803088803088803
6,0.6407363115590512,0.8127413127413128
7,0.5791043779564641,0.8262548262548263
8,0.5008722189310435,0.859073359073359
9,0.4674348262746362,0.8648648648648649
10,0.4553150527725809,0.8764478764478765
11,0.40903355647238065,0.8996138996138996
12,0.3892691344828219,0.8996138996138996
13,0.38222546466989404,0.8996138996138996
14,0.348496476885895,0.916988416988417
15,0.31003512252251614,0.9324324324324325
