Round,Loss,Accuracy
1,2.1525875049478866,0.4650735294117647
2,1.7373208719141342,0.6305147058823529
3,0.9498396077576805,0.8106617647058824
4,0.5200967245242175,0.8841911764705882
5,0.3512784851824536,0.9080882352941176
6,0.2806547021164614,0.9209558823529411
7,0.23177332639255943,0.9319852941176471
8,0.18744433682192774,0.9466911764705882
9,0.17492671414990635,0.9485294117647058
10,0.15179818238624754,0.9577205882352942
11,0.13403778972432895,0.9632352941176471
12,0.1205959461410256,0.9650735294117647
13,0.11465587203993517,0.9669117647058824
14,0.09906270782298901,0.9705882352941176
15,0.09698910740039804,0.9705882352941176
