Round,Loss,Accuracy
1,2.1859688410430462,0.453027139874739
2,1.8862418252391457,0.6304801670146137
3,1.2268561998339436,0.8434237995824635
4,0.6601892801814387,0.8830897703549061
5,0.4640501436460491,0.9039665970772442
6,0.34332619330579406,0.9227557411273486
7,0.29800590990978393,0.9206680584551148
8,0.24162432594936425,0.9457202505219207
9,0.2109685506601672,0.9582463465553236
10,0.18849233047947256,0.9624217118997912
11,0.17578481955916497,0.9603340292275574
12,0.15502893775390433,0.9770354906054279
13,0.14460332956095082,0.9707724425887265
14,0.15244263323463328,0.9686847599164927
15,0.12281641805843918,0.9812108559498957
