Round,Loss,Accuracy
1,2.1944879257317744,0.38446969696969696
2,1.9106408754984539,0.615530303030303
3,1.2628045443332556,0.7689393939393939
4,0.7792346405260491,0.8143939393939394
5,0.5665065266869285,0.8446969696969697
6,0.44897508440595685,0.8806818181818182
7,0.3823671277725335,0.9015151515151515
8,0.33996838240912464,0.9185606060606061
9,0.325899937049006,0.9166666666666666
10,0.2657829247640841,0.9450757575757576
11,0.2512329819075989,0.9356060606060606
12,0.23936873087377258,0.9393939393939394
13,0.21068238918528412,0.9545454545454546
14,0.207149976356463,0.9431818181818182
15,0.1803667897527868,0.9621212121212122
