Round,Loss,Accuracy
1,2.1946247598229003,0.4086242299794661
2,1.913247243579653,0.5975359342915811
3,1.2714990639343888,0.8028747433264887
4,0.7692301934259873,0.8234086242299795
5,0.5784764260482005,0.8480492813141683
6,0.4651494065349352,0.8624229979466119
7,0.419434310229652,0.8726899383983573
8,0.36398185205165856,0.8993839835728953
9,0.3118137035526534,0.891170431211499
10,0.30757300222189277,0.9158110882956879
11,0.30277595187114736,0.9117043121149897
12,0.26417093600091013,0.9260780287474333
13,0.25739618272996784,0.919917864476386
14,0.271177815705599,0.9096509240246407
15,0.23401805262790812,0.9301848049281314
