Round,Loss,Accuracy
1,2.191829249972389,0.42063492063492064
2,1.894709072415791,0.6349206349206349
3,1.232056080348908,0.8452380952380952
4,0.687004183966016,0.875
5,0.48855286174350315,0.8928571428571429
6,0.37328826340418014,0.9047619047619048
7,0.32749438285827637,0.9146825396825397
8,0.2742886117526463,0.9166666666666666
9,0.25152734182183706,0.9345238095238095
10,0.22631428355262392,0.9464285714285714
11,0.20572142941611155,0.9484126984126984
12,0.19607196606340863,0.9563492063492064
13,0.189660924767691,0.9563492063492064
14,0.1987794666063218,0.9444444444444444
15,0.16450003167939564,0.9563492063492064
