Round,Loss,Accuracy
1,2.211435150455784,0.33976833976833976
2,1.9691171406779049,0.5463320463320464
3,1.448756368924292,0.6505791505791506
4,1.018198383360756,0.6853281853281853
5,0.8044255948895193,0.7548262548262549
6,0.6926195078374796,0.805019305019305
7,0.5899740448329439,0.833976833976834
8,0.5237097040566698,0.8648648648648649
9,0.5316783288731078,0.8474903474903475
10,0.43390911472350013,0.888030888030888
11,0.3999082970803309,0.8861003861003861
12,0.4009924254822455,0.8841698841698842
13,0.36716889414547954,0.8918918918918919
14,0.37944663353408165,0.8861003861003861
15,0.3108406478833968,0.9092664092664092
