Round,Loss,Accuracy
1,2.189680821755353,0.4099264705882353
2,1.888730154317968,0.6231617647058824
3,1.2202221505782183,0.8088235294117647
4,0.6954276272479225,0.8547794117647058
5,0.48338260983719544,0.8841911764705882
6,0.3660871868624407,0.9117647058823529
7,0.3043519955347566,0.9227941176470589
8,0.2570971991209423,0.9301470588235294
9,0.2459729957010816,0.9356617647058824
10,0.2031373848371646,0.9577205882352942
11,0.19208978576695218,0.9522058823529411
12,0.18582751886809573,0.9485294117647058
13,0.16027352728826158,0.9595588235294118
14,0.15988394639947834,0.9577205882352942
15,0.13349337875843048,0.9724264705882353
