Round,Loss,Accuracy
1,2.1988805962737494,0.3865877712031558
2,1.9239130264673479,0.5798816568047337
3,1.2996687240149143,0.7613412228796844
4,0.7772757889486158,0.814595660749507
5,0.5805354014891374,0.8461538461538461
6,0.4644630007019645,0.8816568047337278
7,0.4013730468599519,0.8796844181459567
8,0.3375879124071471,0.9151873767258383
9,0.315795933236267,0.9151873767258383
10,0.27298616375443496,0.9309664694280079
11,0.24873550356727614,0.9408284023668639
12,0.23816465720152244,0.9428007889546351
13,0.22477195248801327,0.9526627218934911
14,0.23853726217732626,0.9467455621301775
15,0.19118297828960232,0.9526627218934911
