Round,Loss,Accuracy
1,2.1949777886419013,0.41188118811881186
2,1.9183385490190865,0.601980198019802
3,1.2620769198578183,0.8277227722772277
4,0.7432014314254912,0.8534653465346534
5,0.5196988341831925,0.8732673267326733
6,0.3984357484496466,0.9108910891089109
7,0.3501603881911476,0.904950495049505
8,0.2940467650347417,0.9306930693069307
9,0.2532905182035843,0.9386138613861386
10,0.2337350292961196,0.9445544554455445
11,0.22791675966564973,0.9386138613861386
12,0.1978463059604758,0.9504950495049505
13,0.18900450904770652,0.9504950495049505
14,0.20249304016037742,0.9425742574257425
15,0.1620745562090732,0.9564356435643564
