Round,Loss,Accuracy
1,2.2156502627587136,0.34108527131782945
2,1.9648277482321097,0.5794573643410853
3,1.4350072016087614,0.6627906976744186
4,0.9979177741117256,0.7248062015503876
5,0.7809479097987331,0.7829457364341085
6,0.6552168777746747,0.812015503875969
7,0.5604542235071345,0.8468992248062015
8,0.49930559849554257,0.8643410852713178
9,0.511661365050678,0.8507751937984496
10,0.41157709720522856,0.8817829457364341
11,0.4016769847204519,0.8914728682170543
12,0.3916226209596146,0.8953488372093024
13,0.35670415652814763,0.8992248062015504
14,0.3685129113899645,0.9050387596899225
15,0.29966106525687286,0.9147286821705426
