Round,Loss,Accuracy
1,2.191218157696829,0.40308370044052866
2,1.9206078063023773,0.5881057268722467
3,1.2934712628435983,0.7929515418502202
4,0.7875538355453424,0.8303964757709251
5,0.5760523012556168,0.8766519823788547
6,0.46535787235797765,0.8854625550660793
7,0.4023714874284383,0.9008810572687225
8,0.35257184426689986,0.9118942731277533
9,0.30154713253092663,0.9273127753303965
10,0.2863788954618219,0.9185022026431718
11,0.27344783300345166,0.9317180616740088
12,0.24248768605849816,0.9383259911894273
13,0.22733045201994775,0.9449339207048458
14,0.23383173517193565,0.9449339207048458
15,0.20309044446976698,0.9449339207048458
