Round,Loss,Accuracy
1,2.1596517758692557,0.5092402464065708
2,1.7801477600661637,0.5995893223819302
3,0.996777444404743,0.7967145790554415
4,0.6030326300822734,0.839835728952772
5,0.47760310554896046,0.8767967145790554
6,0.4277477004934385,0.864476386036961
7,0.33259241536902207,0.891170431211499
8,0.29031028248201407,0.9096509240246407
9,0.26583132410930654,0.9219712525667351
10,0.23810282722880463,0.9301848049281314
11,0.2348888517650001,0.9301848049281314
12,0.1994457998804488,0.944558521560575
13,0.18559048895473598,0.9548254620123203
14,0.18292520912765722,0.9486652977412731
15,0.172042507410539,0.9548254620123203
