Round,Loss,Accuracy
1,2.150698874837919,0.5093945720250522
2,1.7603400674393879,0.6534446764091858
3,0.9337522789431514,0.8016701461377871
4,0.5309503680728921,0.8768267223382046
5,0.3724215647870663,0.9102296450939458
6,0.33666472594275104,0.8997912317327766
7,0.24830080870546728,0.9290187891440501
8,0.20692800666693606,0.941544885177453
9,0.17717432403365357,0.9519832985386222
10,0.15569116215616277,0.954070981210856
11,0.14875847026550199,0.9582463465553236
12,0.12456947932163709,0.9686847599164927
13,0.11533518169767423,0.9707724425887265
14,0.10296805766031986,0.9707724425887265
15,0.09570018048077386,0.9791231732776617
