Round,Loss,Accuracy
1,2.170946136597664,0.4314516129032258
2,1.8334316245971187,0.5725806451612904
3,1.0467012274649836,0.7620967741935484
4,0.669016751550859,0.8064516129032258
5,0.5117033393152298,0.8689516129032258
6,0.4756765370407412,0.8669354838709677
7,0.38167689019633877,0.9012096774193549
8,0.3247067925910796,0.9254032258064516
9,0.2961807001021601,0.9193548387096774
10,0.2720164368229528,0.9274193548387096
11,0.2569736653277951,0.9334677419354839
12,0.2219045323229605,0.9435483870967742
13,0.2067217983065113,0.9455645161290323
14,0.19840646439021634,0.9415322580645161
15,0.18139085005367955,0.9556451612903226
