Round,Loss,Accuracy
1,2.187803394110628,0.38953488372093026
2,1.890943360883136,0.5077519379844961
3,1.2279251185498496,0.6802325581395349
4,0.9021143913269043,0.7209302325581395
5,0.6834642600643542,0.812015503875969
6,0.643802331399548,0.8023255813953488
7,0.561050321242606,0.8294573643410853
8,0.5253526415935782,0.8372093023255814
9,0.47413290286248966,0.8565891472868217
10,0.4349435919014982,0.875968992248062
11,0.38947887037151546,0.8895348837209303
12,0.3762471560359925,0.8856589147286822
13,0.36106284782868026,0.8934108527131783
14,0.3223415183466534,0.9050387596899225
15,0.30524604184220927,0.9089147286821705
