Round,Loss,Accuracy
1,2.1647372056734193,0.4801762114537445
2,1.7990830606300925,0.5726872246696035
3,1.038708856977555,0.7819383259911894
4,0.6217840253519067,0.8392070484581498
5,0.5015724120161081,0.8700440528634361
6,0.4318321155556498,0.8832599118942731
7,0.35146922371986156,0.9030837004405287
8,0.3104716254488487,0.9162995594713657
9,0.2997199105271159,0.920704845814978
10,0.264625212038141,0.9229074889867841
11,0.2581854612291647,0.9295154185022027
12,0.2317471565260236,0.933920704845815
13,0.22090267439245653,0.9405286343612335
14,0.21066575479336772,0.9405286343612335
15,0.20348642955201837,0.9449339207048458
